datetime,station_id,station_name,latitude,longitude,district,PM25,PM10,SO2,NO2,O3,CO,AQI,temperature,humidity,wind_speed,wind_direction,precipitation,pressure,data_mode
2026-08-06 00:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,25.0,42.1,7.8,27.7,58.6,0.89,36,24.1,46.0,2.8,71.6,1.0,1011.1,DEMO
2026-08-06 00:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,40.2,58.4,19.4,40.6,50.8,0.89,57,22.7,36.0,1.9,4.6,0.0,1008.5,DEMO
2026-08-06 00:00:00,HHHT003,呼市一监,40.81,111.67,回民区,36.9,51.7,9.3,36.4,29.6,0.83,52,25.3,67.1,3.3,262.7,0.0,1004.9,DEMO
2026-08-06 00:00:00,HHHT004,小召前街,40.805,111.665,回民区,40.6,53.1,13.7,32.6,53.3,0.93,57,21.7,36.2,3.8,288.8,0.0,1013.8,DEMO
2026-08-06 00:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,30.4,45.2,10.2,28.5,57.5,0.99,43,24.3,49.8,3.8,310.4,0.0,1003.2,DEMO
2026-08-06 00:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,38.7,50.6,16.5,26.6,51.8,0.9,55,24.9,41.7,1.1,55.5,0.0,1014.7,DEMO
2026-08-06 01:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,26.8,36.6,15.6,31.7,46.0,0.78,38,26.1,26.0,4.6,79.0,0.0,1015.2,DEMO
2026-08-06 01:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,36.6,46.8,10.1,34.3,40.4,0.86,52,22.8,47.7,4.3,18.6,0.0,1012.7,DEMO
2026-08-06 01:00:00,HHHT003,呼市一监,40.81,111.67,回民区,22.5,32.2,9.7,28.8,51.1,0.92,32,21.7,48.0,2.5,23.4,0.0,1008.0,DEMO
2026-08-06 01:00:00,HHHT004,小召前街,40.805,111.665,回民区,46.9,69.3,16.1,35.0,44.5,0.89,65,20.1,42.2,3.4,334.5,0.0,1007.8,DEMO
2026-08-06 01:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,24.2,32.1,14.1,43.0,63.0,0.66,35,22.0,46.5,2.5,60.9,0.0,1019.7,DEMO
2026-08-06 01:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,30.6,44.2,15.9,36.2,57.9,0.77,44,26.6,54.5,4.1,252.3,0.0,1011.0,DEMO
2026-08-06 02:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,27.5,36.6,13.2,39.4,42.8,0.87,39,20.0,46.2,4.4,211.8,0.0,1012.6,DEMO
2026-08-06 02:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,41.1,53.8,19.0,37.2,41.2,1.0,58,25.8,56.7,2.9,97.1,0.0,1013.3,DEMO
2026-08-06 02:00:00,HHHT003,呼市一监,40.81,111.67,回民区,43.2,62.5,12.3,35.6,56.8,1.01,60,20.5,36.2,4.8,282.4,0.0,1005.7,DEMO
2026-08-06 02:00:00,HHHT004,小召前街,40.805,111.665,回民区,41.7,61.2,14.1,36.9,55.2,0.83,58,19.8,47.8,3.3,149.9,0.0,1013.3,DEMO
2026-08-06 02:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,35.5,44.8,13.7,42.8,68.7,0.84,51,19.1,57.6,2.3,156.9,0.0,1014.3,DEMO
2026-08-06 02:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,27.7,36.5,14.1,42.2,43.1,0.6,40,15.7,49.6,2.6,300.1,0.0,1016.7,DEMO
2026-08-06 03:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,25.1,35.0,11.9,23.7,61.9,0.85,36,29.6,37.9,2.3,345.9,0.0,1013.4,DEMO
2026-08-06 03:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,32.9,43.1,18.2,28.7,62.6,0.87,47,18.3,51.3,3.6,170.9,0.0,1017.4,DEMO
2026-08-06 03:00:00,HHHT003,呼市一监,40.81,111.67,回民区,27.4,39.2,16.4,32.5,48.5,0.75,39,21.2,54.6,2.3,205.0,0.0,1012.0,DEMO
2026-08-06 03:00:00,HHHT004,小召前街,40.805,111.665,回民区,37.4,49.3,19.5,35.2,43.8,0.97,53,23.9,47.6,6.8,0.1,0.0,1009.4,DEMO
2026-08-06 03:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,27.4,34.3,11.1,33.8,41.9,0.62,39,21.6,64.6,1.4,279.2,0.0,1013.4,DEMO
